销售人员	公司名称	联系人	电话	手机	地址	经营产品类别	E-mail	QQ	微信号	备注信息
刘傲	宁波华坤医疗器械有限公司		0574-63905556-512		宁波市慈溪市崇寿镇崇寿东大道465号	医疗器械	huakun@chinahuakun.cn			
刘傲	慈溪市安波医疗器械有限公司		0574-63192818		宁波市慈溪市横河镇子陵村	医疗器械	cixianbo@alibaba.com.cn			
刘傲	宁波纽立德织造有限公司		0574-63267955-0		宁波市慈溪市杨梅大道北路255号	医疗器械	yibang@china.com			
刘傲	浙江广慈医疗器械有限公司		0574-58969507 		宁波市慈溪市周巷镇开发东路189号	医疗器械	zjguangci@126.com			
刘傲	宁波市奉化润达医疗器械有限公司		0574-88660138 		宁波市奉化市西坞西宁路48号	医疗器械	cyl1188.good@163.com			
刘傲	奉化市康家乐医疗器械有限公司		0574-88846968 88850060 		宁波市奉化市溪口镇工业园区	医疗器械	sales@kangjiale.com			
刘傲	宁波明源宏达自动化有限公司		0574-88859285		宁波市奉化市溪口镇中兴东路555号	医疗器械	smk@mingyuanqd.com			
刘傲	宁波家必备电子科技有限公司		0574-87452318		宁波市奉化市溪口镇中兴东路565号	医疗器械	sam@jbbtek.com			
刘傲	宁波索诺工业自控设备有限公司		0574-88867777 88850559		宁波市奉化溪口工业园区综研路21号	医疗器械	sales1@chiana-stnc.com			
刘傲	宁波戴维医疗器械股份有限公司		0574-87801006		宁波市高新区菁华路100号	医疗器械	market@nbdavid.com			
刘傲	宁波维尔凯迪医疗器械有限公司		0574-87910379 87910486		宁波市高新区菁华路100号	医疗器械	sale@nbverykind.com			
刘傲	宁波市成和显微器械厂		0574-87468915-0		宁波市海曙区段塘吴家官庄(丽园南路799弄4号)	医疗器械	yang181883@163.com			
刘傲	宁波医用缝针有限公司		0574-87497227		宁波市海曙区鄞奉路895号	医疗器械	webmaster@linqiao.com			
刘傲	宁波市新力生物医药科技有限公司		0574-87592341		宁波市江北区慈城镇莫家巷33号	医疗器械				
刘傲	宁波康和生物科技有限公司		0574-87646178		宁波市江北区慈城镇上岙村	医疗器械	kangheshengwu@163.com			
刘傲	宁波科艺医疗器械有限公司		0574-87739070 		宁波市江北区洪塘南路西段99号	医疗器械	sales01@techartmed.com			
刘傲	宁波凯福莱特种汽车有限公司		0574-83092928 		宁波市江北区金山路666弄16号	医疗器械	nbcareful@126.com			
刘傲	宁波江北瑞晶医疗器械有限公司		0574-87894891-0		宁波市江北区通惠路788号	医疗器械	admin@rj-medical.com.cn			
刘傲	宁波蓝野医疗器械有限公司		0574-27709922 		宁波市江北区投资创业园C区通惠路456号	医疗器械	runyes@runyes.com			
刘傲	宁波普瑞柏生物技术有限公司		0574-87228878-601		宁波市江北区投资创业中心C区通宁路288号	医疗器械	service@purebio.net.cn			
刘傲	宁波开普电子仪表有限公司		0574-87569918-808		宁波市江北区庄桥街道上邵工业西区8号	医疗器械	china@kaipo.biz			
刘傲	宁波迪麦格磁电科技有限公司		0574-27721335-811		宁波市江东区高新区光华路299弄39号C16幢2层	医疗器械	apollo@idailymag.com			
刘傲	宁波永新光学股份有限公司		0574-87915376 		宁波市江东区科技园区明珠路385号	医疗器械	lhz@yxopt.com			
刘傲	宁波奥丽克医疗科技有限公司		0574-65598801-801		宁波市宁海县经济开发区金龙路9号	医疗器械	xdlhr_8801@126.com			
刘傲	宁波禾采医疗器械有限公司		0574-65339678		宁波市宁海县科技园区科三路	医疗器械	trade@nbhecai.com			
刘傲	宁波华力医用包装有限公司		0574-65238588		宁波市宁海县新兴园区金水路	医疗器械	dongchangming555@sina.com			
刘傲	象山天琪工贸有限公司		0574-65626277-806		宁波市象山县城东工业园珙桐路16号	医疗器械	info@tq-medical.com			
刘傲	宁波博盛医疗科技有限公司		0574-65775207-0		宁波市象山县工业园区蓬莱路305号	医疗器械	boshengyiliao@163.com			
刘傲	宁波力拓普传动科技有限公司公司		0574-65933866 		宁波市象山县晓塘乡美礁碶工业区	医疗器械	litop@litopmotion.com			
刘傲	宁波德诺进出口有限公司		0574-87683118 		宁波市药行街42号环球中心B座1702	医疗器械	huangyongyue@deneuchina.com			
刘傲	宁波蓝柏医疗器械有限公司		0574-83066497 		宁波市鄞州区滨海开发区联港路76号	医疗器械	market@mflab.com			
刘傲	奉化克林纳实验仪器有限公司		0574-88002138		宁波市鄞州区奉化尚田镇桥棚村	医疗器械	nbyj8@163.com			
刘傲	宁波盛恒光电有限公司		0574-88046015		宁波市鄞州区高桥工业区秀丰路587号	医疗器械	navite@navite.com			
刘傲	宁波市鄞州同德卫生敷料有限公司	俞笑轩	0574-88276186 	13957812102	宁波市鄞州区古林镇新街	医疗器械				
刘傲	宁波杰尼斯高分子科技有限公司		0574-27715038		宁波市鄞州区横溪镇禄广桥坊里	医疗器械	sales01@jytpe.com.cn			
刘傲	宁波杰尼斯国际贸易有限公司		0351-4292740 		宁波市鄞州区横溪镇禄广桥坊里	医疗器械	sxrhsk@163.com			
刘傲	宁波华辉医用器械有限公司		0574-88451459		宁波市鄞州区姜山镇姜山头村	医疗器械	byronpan@huahui-med.com			
刘傲	宁波市鄞州区亿德医疗器械有限公司	郁建旦			宁波市鄞州区姜山镇周韩村	医疗器械				
刘傲	宁波冠克贸易有限公司		0574-87873933 		宁波市鄞州区启明路818号12幢93号	医疗器械	info@greatcare.com.cn			
刘傲	宁波冠克医疗科技有限公司		0574-87879377-0		宁波市鄞州区启明路818号12幢93号	医疗器械	info@greatcare.com.cn			
刘傲	宁波美康生物科技股份有限公司		0574-88223000-8071		宁波市鄞州区启明南路299号	医疗器械	18989305963@189.cn			
刘傲	宁波瑞诺医疗科技有限公司		0574-89258627 		宁波市鄞州区首南街道惠风西路115号城南商务大厦A座24楼	医疗器械	1461571063@qq.com			
刘傲	宁波龙之恒泰国际贸易有限公司				宁波市鄞州区首南街道李花桥工业园区	医疗器械				
刘傲	宁波市鄞州申源医用材料有限公司		0574-88276327 	18969899655	宁波市鄞州区望春工业园区科创路58号	医疗器械				
刘傲	宁波海曙科生超声设备有限公司		0574-87154938 		宁波市鄞州区望春何家开发区何家路330号	医疗器械	cao5198@126.com			
刘傲	宁波市鄞州先锋电子仪表厂		0574-88486850-000		宁波市鄞州区五乡镇宝幢	医疗器械	chen88488650@126.com			
刘傲	宁波诺康德医疗科技有限公司		0574-88060001 		宁波市鄞州区云龙工业区	医疗器械	info@lecount.cn			
刘傲	宁波菲特医疗器械有限公司		0574-88216088 		宁波市鄞州区钟公庙街道铜盆闸	医疗器械	feite@feite.net			
刘傲	宁波华欣医疗器械有限公司		0574-88083938 		宁波市鄞州区钟公庙街道铜盆闸	医疗器械	wisely@wisely.com.cn			
刘傲	宁波启发医疗科技有限公司		0574-88167631		宁波市鄞州投资创业中心启明路599号	医疗器械	kaifat-m@163.com			
刘傲	宁波明太医疗器械有限公司		0574-81800386 88320097 88320095		宁波市鄞州云龙镇工业园区云振路78号	医疗器械	web@mtsun.com.cn			
刘傲	余姚佳华医疗器械有限公司		0574-62649770 		宁波市余姚市仓储路18号	医疗器械	Zjh3200@126.com			
刘傲	余姚市鑫石石膏制品有限公司	吴先生	0574-62276680   		宁波市余姚市低塘街道姆湖村剑江路南103号	医疗器械	sanxinsg@163.com 	282162182		
刘傲	余姚市广景医疗器械有限公司	邹先生	0574-62535898       	15372665598	宁波市余姚市低塘街道姆湖村张巷	医疗器械	yydsxhx@163.com?			
刘傲	宁波舜宇内窥镜有限公司		0574-62882388		宁波市余姚市经济开发区城东新区冶山路科创中心2幢2楼北座	医疗器械	vincentwz1982@sina.com			
刘傲	宁波吉丽医疗器械有限公司		0574-62591128 	13777169650	宁波市余姚市兰江街道直江路10号	医疗器械	webmaster@gele-medical.com			
刘傲	宁波五洲医疗器械有限公司	赵国珍	0574-62398518		宁波市余姚市磨刀桥路63-9号	医疗器械				
刘傲	余姚市宇峰医疗器械有限公司	邹先生 	400-660-2255     	15968933661	宁波市余姚市泗门振华路5号	医疗器械	zbr600715@sina.com			
刘傲	宁波康泽医疗器械有限公司	秦军娟	0574-58120907 		宁波市余姚市万基国贸大厦1111室	医疗器械	20295677@qq.com			
刘傲	宁波路加医疗器械有限公司	顾叶辉	0574-22661880 		宁波市余姚市阳明街道旗山村谷家堰	医疗器械				
刘傲	宁波博雅医疗器械有限公司		0574-22659556		宁波市余姚市姚北工业区经三路102号10幢	医疗器械	wy3199@126.com			
刘傲	鑫高益医疗设备股份有限公司		0574-62599915 		宁波市余姚市冶山路555号	医疗器械	zn301@vip.163.com			
刘傲	宁波莱森贝尔医疗器械有限公司	李程碑	0574-62765200   	15158181537	宁波市余姚市竹山村开发区	医疗器械				
刘傲	宁波美生医疗器材有限公司		0574-86301778		宁波市镇海区镇宁东路628号	医疗器械	499629229@qq.com			
刘傲	宁波基内生物技术有限公司		0574-86681473   		宁波市镇海区庄市街道中官路777号	医疗器械	geneinn@geneinn.com			
刘傲	宁波迪麦格电机有限公司		0574-26280025 		宁波市镇海区庄市联盟路陈家95-2号	医疗器械	biz@cndailymag.com			
刘傲	宁波盈升科技发展有限公司		0574-27910583		宁波望春工业园区科创北路228号	医疗器械				
刘傲	余姚市博安医疗器械科技有限公司		0574-62566466 62566499		余姚市城东经济开发区科创中心3号楼3F	医疗器械	boankeji@163.com			
刘傲	余姚市柳叶刀医疗器械科技有限公司	王俊	0574-62609568	15901957030	余姚市城东开发区市科创中心3号楼2楼	医疗器械				
刘傲	宁波柳叶刀医疗科技有限公司	王俊	0574-62609568 	13757499627	余姚市科创中心3号楼2楼	医疗器械				
刘傲	宁波江丰生物信息技术有限公司		0574-58128111 		余姚市科创中心4号孵化楼3楼	医疗器械	kfbio@kfbio.cn			
刘傲	余姚海瑞医疗器械有限公司		0574-62460226		余姚市马渚镇新顺路5号	医疗器械				
刘傲	余姚市登月医疗器械有限公司		0574-62134031 		余姚市泗门镇东蒲东沙西路16-18号	医疗器械	dengyue@dengyue.net			
刘傲	余姚市盛昌医用器材厂		0574-62120601 		余姚市泗门镇水阁周村	医疗器械	yuyaojunteng@163.com			
刘傲	余姚市宇峰医疗器械有限公司		400-660-2255 0574-62154079 	15968933661	余姚市泗门镇振华路5号	医疗器械	wwe1263@vip.163.com			
刘傲	余姚市吉康医疗器械厂	谢建章	0574-62120219 	13606593079	余姚市泗门镇振兴南路288号	医疗器械	1921815956@qq.com			
刘傲	宁波三禾医疗医疗器械有限公司	李黎东	0574-62989828 62975697		余姚市丈亭工业园区	医疗器械				
刘傲	余姚市晨康医疗器械厂		0574-62989828-00		余姚市丈亭镇工业区梅山路10号	医疗器械	cmef@foxmail.com			
刘傲	平湖市三马纸塑包装有限公司		0573-85922149 		平湖市林埭镇群丰段一号	医疗器械	mjz@ph-sm.com			
刘傲	常山康利医疗器械有限公司		0570-5125021 		衢州市常山县天马镇外港陈家瑞	医疗器械	kangli9669@sina.com			
刘傲	浙江康德药业集团有限公司	胡增仁	0570-8599866 8599899		衢州市经济开发区世纪大道889号	医疗器械				
刘傲	浙江华联制药机械股份有限公司		0577-65612699		瑞安市飞云新区经二路1号	医疗器械	sales@hlyj.com			
刘傲	华联制药机械股份有限公司	袁晓雷	0577-65612699		瑞安市飞云新区经二路1号	医疗器械	hualianpm@qq.com			
刘傲	浙江省三门医用器材厂		0576-83230536 		三门县海游镇光明中路335号	医疗器械	0576csx@163.com			
刘傲	上虞新越医疗器械有限公司		0575-82031503 		上虞市小越镇田家村	医疗器械	sale@xyuemedical.com			
刘傲	振德医疗集团|绍兴振德医用敷料有限公司	鲁建国	0575-88086666 88084220  		绍兴皋埠镇皋北经济开发区	医疗器械	wzh@topamed.com			
刘傲	绍兴安迪斯医疗科技有限公司		0575-85215008		绍兴市滨海新城马欢路398号科创中心二号楼1楼	医疗器械	sales@undis.cn			
刘傲	绍兴超捷医疗器械有限公司		0575-82120608 		绍兴市上虞市百官街道百官工业区前一村	医疗器械	jun466@163.com			
刘傲	浙江新丰医疗器械有限公司		575-82589337-0		绍兴市上虞市道墟镇屯南工业区	医疗器械	qzycz@163.com			
刘傲	浙江新益智能驱动科技有限公司		0575-82568978 		绍兴市上虞市经济开发区新沙村	医疗器械	348129147@qq.com			
刘傲	浙江佩洁尔医疗科技有限公司		0575-82436888 82438967		绍兴市上虞市梁湖工业区	医疗器械	peijier@peijier.com			
刘傲	浙江大吉医疗器械有限公司		0575-82931411 82933956 		绍兴市上虞市永和镇朱巷路1号	医疗器械	daji@zjdaji.sina.net			
刘傲	浙江捷昌线性驱动科技股份有限公司		0575-86297980 		绍兴市新昌县省级高新技术开发区新涛路19号	医疗器械	sales@jiecang.com			
刘傲	浙江优特格尔医疗用品有限公司		0575-88675000-691		绍兴市越城区高新技术产业开发区五泄路599号	医疗器械	packy.wu@sxfuqing.com.cn			
刘傲	浙江海圣医疗器械有限公司		0575-88158539 		绍兴市越城区袍江工业区汤公路305号	医疗器械	hongy@hisern.com			
刘傲	绍兴易邦医用品有限公司		0575-88172760 		绍兴市越城区袍江工业区越王路341号	医疗器械	www.yibon-medical.com			
刘傲	诸暨市鹏天医疗器械有限公司		0575-89709626 		诸暨市江龙工业区津津路8号	医疗器械	mandy@pengtianmed.com			
刘傲	浙江拱东医疗科技有限公司		0576-84081116-0		台州市黄岩经济开发区北院大道10号	医疗器械	xhb@chinagongdong.com			
刘傲	浙江柏美特医用塑料有限公司		0576-84190891		台州市黄岩区北城开发区翔光路8号	医疗器械	plasmedds@plasmed.cn			
刘傲	台州市博基医疗设备有限公司		0576-84308055 		台州市黄岩区澄江工业园区	医疗器械	13806594885@163.com			
刘傲	台州禾维医药科技有限公司	鲍建刚18042190288 	0576-84227966		台州市黄岩区东城街道东城开发区绿汀路212-1号	医疗器械				
刘傲	浙江爱康医用塑料有限公司		0576-81101880 		台州市黄岩区江口街道进港路50号	医疗器械	info@chinaaicor.com			
刘傲	浙江黄岩舒洁医疗用品厂		0576-84955488 		台州市黄岩区上洋	医疗器械	cnsjyl@sohu.com			
刘傲	台州炜业医疗设备有限公司		0576-84238088 		台州市黄岩市东城开发区绿汀路232号	医疗器械	rq13806572008@126.COM			
刘傲	台州市德瑞压缩机有限公司		0576-88322960 	13326005256	台州市椒江区工人西路1501-19号	医疗器械				
刘傲	台州正原医用塑料发展有限公司		0576-88805808-808		台州市椒江区葭沚西浦岸路36号	医疗器械	zenyuan1975@139.com			
刘傲	浙江强鹰科技股份有限公司				台州市椒江区农场路78号	医疗器械				
刘傲	浙江省台州市路桥金清医用仪器厂	陈斌	0576-82881068		台州市路桥区金清镇东湖路41号	医疗器械	chenbin8168@163.com			
刘傲	浙江台州市开翔塑业有限公司		0576-82881068 	13968671068	台州市路桥区金清镇林家工业区	医疗器械	895392371@qq.com			
刘傲	台州市塑宇工贸有限公司		0576-82426197		台州市路桥区新桥镇新大街219号	医疗器械	suyuplastic@163.com			
刘傲	浙江皓邦医药用品有限公司		0576-83413899 		台州市三门县六敖镇大沙湾工业区	医疗器械	1061478269@qq.com			
刘傲	天台县宣成医疗用品厂	闫桂梅	0576-83987722 		台州市天台县始丰街道下洋	医疗器械	2508010499@qq.com			
刘傲	温岭市太平钢锋塑料模具厂		0576-86048698 		台州市温岭市南泉二期工业区	医疗器械	sales@gfmould.com			
刘傲	浙江大鹏机械有限公司		0576-86837221 86838323		台州市温岭市箬横工业区	医疗器械	info@zjdpco.com			
刘傲	温岭市博丰电器有限公司		0576-86479023 		台州市温岭市泽国牧屿望河南路33-52号	医疗器械	bofoncn@163.com			
刘傲	浙江省仙居县一洋医业有限公司		0576-87779775 		台州市仙居县安洲街道艺城西路6号	医疗器械	zh@yymed.com.cn			
刘傲	浙江康康医疗器械有限公司		0576-89902728		台州市玉环县楚门镇龙王工业区	医疗器械	sales@kangkang.com.cn			
刘傲	玉环创美塑业有限公司		0576-87101558		台州市玉环县清港镇扫帚山工业区	医疗器械	7107423@qq.com			
刘傲	玉环圣久模具有限公司		0576-89915676 		台州市玉环县清港镇苔山工业区	医疗器械	web@yhsjmould.com			
刘傲	迈得医疗工业设备股份有限公司		0576-87498999-8057		台州市玉环县沙门镇滨港工业城天佑路3号	医疗器械	web@maiderchina.com			
刘傲	台州康龙医药包装有限公司		0576-87204731		台州市玉环县漩港工业区	医疗器械	info@klxjcn.com			
刘傲	浙江玉升医疗器械股份有限公司		0576-87206968		台州市玉环县漩门工业区	医疗器械	yusheng@ysgf.net 			
刘傲	仙居药城医疗器械有限公司		0576-87793527		仙居县城关穿城中路155号	医疗器械	info@cnxjyc.com			
刘傲	浙江优亿医疗器械有限公司		0576-87788798 		仙居县福应街道周岩头临溪路153号	医疗器械	online@ueworld.com			
刘傲	仙居可邦耐医疗电子有限公司	王晓红	0576-87733789 		仙居县艺城中路十号	医疗器械	kbnyldz@163.com			
刘傲	台州康健医用器械有限公司		0576-87299799		玉环县机电工业园区（黄泥坎段）	医疗器械	webmaster@kangjiancn.com			
刘傲	浙江省玉环县康佳企业有限公司	金威力15958608880	0576-87142899 87141267		玉环县芦浦镇井头	医疗器械	infe@kang-jia.com			
刘傲	浙江华福医用器材有限公司		0576-87101606		玉环县清港镇广阳路18号	医疗器械	huafuzj@gmail.com			
刘傲	浙江京环医疗用品有限公司	陈先生13566424040	0576-87101256		玉环县清港镇烧瓦工业区	医疗器械	jinghuan@zjjhyl.com			
刘傲	桐乡市茂昇贸易有限公司		0573-88698611 		桐乡市凤鸣路27号	医疗器械	ricky.chan@chemtax.com			
刘傲	桐乡市宝禾医疗器械有限公司		0573-80889033 		桐乡市高桥工业区8-2幢2楼	医疗器械	nancy@bao-health.com			
刘傲	浙江伏尔特医疗器械股份有限公司	钟玲	0573-88106708		桐乡市梧桐街道环城南路3618号	医疗器械	zjfert@zjfert.com			
刘傲	温州市贝普科技有限公司		0577-86651999 		温州工业园区金水路7号	医疗器械	beipu@beipul.com			
刘傲	温州市龙德医疗科技有限公司	郑加奇	0577-89615585		温州经济技术开发区高一路158号A幢厂区三楼306 308室	医疗器械				
刘傲	浙江铭锐电子有限公司		0577-65596111 		温州瑞安市林洋工业区八达路86号	医疗器械	ykb@263.net			
刘傲	温州康诺克医疗器械有限公司		0577-68652222		温州市苍南县龙港镇世纪大道新雅工业园12栋	医疗器械	615784539@qq.com			
刘傲	温州市润成科技有限公司	陈春涛	0577-68116669		温州市苍南县钱库河家埭100号	医疗器械	3391745@qq.com			
刘傲	温州星康医学科技有限公司		0577-86751878 		温州市高新技术产业园D幢202 	医疗器械	wzxk85@gmail.com 			
刘傲	浙江医鼎医用敷料有限公司		0577-86807608		温州市经济技术开发区滨海园区C507地块（滨海十二路588号）	医疗器械	313212466@qq.com			
刘傲	温州世科体育用品有限公司		0577-64706888		温州市龙港镇世纪大道8886号曙光工业园区2期11幢	医疗器械	info@scico.cn			
刘傲	温州奥昌米萨瓦医疗科技有限公司		0577-86617899 85828539		温州市龙湾区滨海园区4道97号	医疗器械	aochang@cn-aochang.com			
刘傲	温州博康医疗科技有限公司		0577-86880688 		温州市龙湾区海宁路1500号	医疗器械	bokang@bokang.com			
刘傲	温州市高德医疗器械有限公司		0577-86911278 		温州市龙湾区经济技术开发区滨海三道4719号	医疗器械	wzgaode@126.com			
刘傲	温州耐斯康护用品有限公司		0577-86986227		温州市龙湾区灵昆街道	医疗器械	xianglili@cnnaisi.com			
刘傲	温州康顺医疗器械有限公司		0577-86386818		温州市龙湾区状元街道西台村	医疗器械				
刘傲	温州市康源电子有限公司		0577-86479569		温州市鹿城区轻工产业园区盛发路25号	医疗器械	kangyuan@kangyuan.com			
刘傲	温州施乐康医疗器械有限公司	郑胜武	0577-86415856 86534701 	18042339139	温州市瓯海东方路38号（大学科技园孵化器1号楼1124 1125 1407室）	医疗器械				
刘傲	温州市谊祺超医学科技有限公司	徐新谊	0577-86585999		温州市瓯海娄桥工业园区森茂路28号第三层	医疗器械				
刘傲	温州市瓯海南白象华帝医疗器械厂	宁华	15867757698		温州市瓯海南白象街道上蔡村上蔡庄22弄3号-2	医疗器械				
刘傲	温州圣鼎工贸有限公司		0577-86791501-810		温州市瓯海区慈湖北村慈湖路158号	医疗器械	robin@kindcare.cn			
刘傲	浙江省温州皓丰机械有限公司		0577-88137795 		温州市瓯海区瞿溪南片工业区东化路6号	医疗器械	wzhaofeng2006@126.com			
刘傲	浙江佳康医疗器械有限公司	王静建	0577-58180587		温州市平阳县万全镇宋桥工业区	医疗器械	2314506216@qq.com			
刘傲	浙江森菱电子科技有限公司	宋育彬	0577-58115878 		温州市平阳县万全镇郑楼工业园区丰联路66号	医疗器械	809093994@QQ.com			
刘傲	瑞安市三环机械有限公司		0577-65025666 		温州市瑞安市飞云新区纬十一路	医疗器械	cjg@cn-sanhuan.com			
刘傲	温州顶历医疗器械有限公司		0577-66210225		温州市瑞安市汽摩配产业基地东区(陕汽云顶内）	医疗器械	dlylqx@126.com			
刘傲	浙江鸿昌机械有限公司		0577-65672222 		温州市瑞安市沿江西路107号	医疗器械	hcjx@vip.163.com			
刘傲	浙江奥奇医用敷料有限公司		0577-64350999		温州市温州龙港镇双龙工业区	医疗器械	aoqi@aoqimed.com			
刘傲	温州雷蒙光电科技有限公司		0577-86580028		温州市文昌路高新技术产业园区10号小区中试大楼西边303室	医疗器械	Service_raymond@163.com			
刘傲	义乌市百灵医疗器械有限公司		0579-85799138 		义乌市城店南路768号	医疗器械	bl@babyly.net			
刘傲	义乌市莎维亚袜业有限公司		0579-85416699		义乌市佛堂镇稠佛路188号	医疗器械	394623952@qq.com			
刘傲	浙江迈兹袜业科技有限公司		0579-85785699		义乌市佛堂镇义南工业园区大士路57号	医疗器械	76265891@qq.com			
刘傲	义乌市澳鹅贸易商行		0579-85373389		义乌市江东五爱新村28幢1单元2楼203室	医疗器械	manager@crownswan.com			
刘傲	义乌市捷康医疗用品有限公司		0579-85432021 		义乌市经济开发区高新园区高新东路1008号	医疗器械	ywjkmed@cnjiekang.com			
刘傲	义乌市伊健袜业有限公司		0579-85785277 	13757924418	义乌市义南工业区含笑路5号	医疗器械	112943769@qq.com			
刘傲	浙江邦立医药用品有限公司		0579-87567541 		永康市城西新区月桂南路118号	医疗器械	bl01@ykbangli.com			
刘傲	余姚市吉星康福床业有限公司		0574-62490868 62499738		余姚市牟山镇富民工业园区	医疗器械	hcbao@ch-jixing.com			
刘傲	余姚市维核医疗器械科技有限公司		13857835930		宁波市余姚市模具城金型三路138号	医疗器械	154349239@qq.com			
刘傲	宁波得天医疗器械有限公司		0574-88047176		 宁波鄞州区龙观乡龙谷村	医疗器械				
刘傲	宁波天益医疗器械有限公司	吴志敏	0574-55011008		宁波市钱湖北路788号	医疗器械				
刘傲	宁波新芝生物科技股份有限公司		0574-88350071 88350069 87112106		宁波国家高新技术区木槿路65号	医疗器械	zhf@scientz.com		scientz	
刘傲	宁波市海天实业有限公司	马云	0574-87880006 	13957889949	宁波市江东昌兴街58号	医疗器械	manage@nb-ht.cn			
刘傲	宁波威利马医疗器械有限公司	石国富18658206663 	0574-65839188		宁波象山西周镇广瀛路57号 	医疗器械	sales@nbweilima.com			
刘傲	宁波菲拉尔医疗用品有限公司		0574-62382157		宁波余姚市陆埠镇钟山东路148弄2号	医疗器械	web@nb-fly.com			
刘傲	宁波悦医行齿科设备有限公司		0574-27863456		宁波市江北科技创业园C区通宁路321弄275号	医疗器械	info@youjoy.cn			
刘傲	乐清市回生医疗器械有限公司	林昌义		13587716908	乐清市乐成镇宁康东路755弄2号	医疗器械	"info@chinahuisheng.com

E-mail:info@chinahuisheng.com"			
刘傲	乐清市隆泰医疗科技有限公司		0571-88829690  		杭州市莫干山路972号泰嘉园B座301-303室	医疗器械	innomed@longterm-health.com			
刘傲	温州市康泰生物科技有限公司		0577-67358658 67358678 67358668		温州瓯北西岸工业区	医疗器械	kontcom@126.com			
刘傲	天台县双星医疗器械厂		0576-83775445 83775226		台州市天台县白鹤镇沿溪南路	医疗器械	sx@tzsx.cc			
刘傲	浙江胜利医疗器械有限公司	江德明	0576-87200277 	13958513557	玉环县珠港镇城关采桑村	医疗器械				
刘傲	台州博盛塑业有限公司		0576-87145920 	13967670273	玉环县包装工业园区	医疗器械				
刘傲	新昌县爱康生物技术有限公司	黄经理	0575-86297606 86021555 86297458	15968523678	新昌高新技术园区	医疗器械	xcikon@163.com			
刘傲	浙江康特生物科技有限公司		0575-86239388 86332323		"新昌省级高新技术产业园区(七星街道铁圈山2号) 
        (七星街道铁圈山2号) "	医疗器械	web@zjkangte.com			
刘傲	绍兴福清卫生用品有限公司		0575-88937705		绍兴高新技术产业开发区五泄路599号	医疗器械	chenbiao@integral-medical.com.cn			
刘傲	浙江康特生物科技有限公司		0575-86239388（服务部）86332323		新昌省级高新技术产业园区(七星街道铁圈山2号)    	医疗器械	web@zjkangte.com			
刘傲	绍兴好士德医用品有限公司			15925801037	南京市鼓楼区中山北路105号中环国际广场4525室	医疗器械	hr_song1989@163.com			
刘傲	绍兴医疗器械有限公司		400-6758-108 0575-88361254 	13806751643	绍兴市天姥路10	医疗器械	kfb@orchid-yx.com			
刘傲	衢州民达卫生用品厂		0570-2931233		衢江区高塘路15号	医疗器械				
刘傲	浙江易柏生物技术有限公司	姜总　	0570-4183819 	13706700292	江山市双塔街道五家山安瑞26号	医疗器械	zj-tct@163.com 			
刘傲	慈溪市康平医疗器械厂		0574-63287058		慈溪市坎墩街道坎中村长白路51号	医疗器械				
刘傲	浙江浦江卫洁康医疗用品有限公司		15057967400		浦江县月泉东路98号	医疗器械				
刘傲	浙江银达生物技术（银达医疗）有限公司		0579-86696806 86696888		东阳市江北经济开发区	医疗器械	yinsw@yinsw.com 			
刘傲	金华市沃尔森生物医学科技有限公司	王先生 		18858165430	兰溪市经济开发区曙光路1号	医疗器械	wes3999@163.com	1739768066		
刘傲	兰溪市贝加尔卫生科技有限公司	杨浪涛	0579-8870556		兰溪市环城东路 	医疗器械				
刘傲	金华市鑫科医药科技有限公司		0579-82208277 82208385		金华市花台路518号（金华市金磐开发区新区	医疗器械	xinkebio@188.com			
刘傲	金华市科迪仪器设备有限公司		0579-82338734 83522561	13957999156	金华市工业园区秋滨街道始丰路899号	医疗器械	"jhkedi@zjkedi.com
jhkedi@zjkedi.com
"	1911212977		
刘傲	永康市邦立医药用品有限公司		0579-87567541 	13588616651	永康市花川工业区月桂南路118号	医疗器械	bl@ykbangli.com			
刘傲	金华市大卫急救用品有限公司		0579-82391001 82391577		金华市国贸街150中景大厦A座1401号	医疗器械	dave@davemedical.com 	2355485970		
刘傲	海南安润科技有限公司		0898-36365999			医疗器械	anrun999@yahoo.cn			
刘傲	海南泰合医疗科技有限公司		0898-36383099 68659789 68659886			医疗器械				
刘傲	海南众森生物科技有限公司		0898-66156998			医疗器械	851147290@qq.com			
刘傲	海南朗腾医疗设备有限公司		0898-66803209	15195984488		医疗器械				
刘傲	海南一鸿实业发展有限公司		0898-6369200-0			医疗器械	cz5581@126.com			
刘傲	海南伟光医疗器械有限公司		0898-36318300 			医疗器械	hainanzhangwei@163.com			
刘傲	海南新阳光药械有限公司		0898-68552773			医疗器械	757683420@qq.com			
刘傲	海南新忠诚医疗用品有限公司	陈柏衡	0898-66796379 	13976677908		医疗器械				
刘傲	海南维吉尔生物科技有限公司		0898-68625755 			医疗器械	sale_yijie@163.com			
刘傲	忠诚医疗用品（海口）有限公司		0898-65727596 			医疗器械				
刘傲	忠诚医疗用品（海口）有限公司		0898-65727596			医疗器械				
刘傲	海南科晶生物技术有限公司		0898-66815879			医疗器械				
刘傲	福州博美安医疗器械有限公司	王成樑	0591-87901158 87904180 87904112 	13600898822		医疗器械				
刘傲	福建梅生医疗科技股份有限公司	陈梅生（法人）臧经理18059050633	0591-83976301 83976305 83976205			医疗器械	msdental@163.com			
刘傲	福建省安康医疗器械有限公司		0591-88373316 83560883			医疗器械	fjak2010@163.com			
